K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.6939251765237857,0.1450154404315965,0.0723135737362476,1,52,1e-07,6.5e-07,6.5e-07,1e-07
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.4820547385350583,0.555009415270176,0.7837971065711652,1,818,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.4820547385350583,0.555009415270176,0.7837971065711652,1,818,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,,,,
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.11895687989162279,0.0019716887716760972,1,33,,,,
